"","BIOSAMPLE_ACCESSION","EXPSAMPLE_ACCESSION"
"400","BS661991","ES717874"
"401","BS661992","ES717875"
"402","BS661993","ES717876"
"403","BS661994","ES717877"
"404","BS661995","ES717878"
"405","BS661996","ES717879"
"406","BS661997","ES717880"
"407","BS661998","ES717881"
"408","BS661999","ES717882"
"409","BS662000","ES717883"
"410","BS662001","ES717884"
"411","BS662002","ES717885"
"412","BS662003","ES717886"
"413","BS662004","ES717887"
"414","BS662005","ES717888"
"415","BS662006","ES717889"
"416","BS662007","ES717890"
"417","BS662008","ES717891"
"418","BS662009","ES717892"
"419","BS662010","ES717893"
"420","BS662011","ES717894"
"421","BS662012","ES717895"
"422","BS662013","ES717896"
"423","BS662014","ES717897"
"424","BS662015","ES717898"
"425","BS662016","ES717899"
"426","BS662017","ES717900"
"427","BS662018","ES717901"
"428","BS662019","ES717902"
"429","BS662020","ES717903"
"430","BS662021","ES717904"
"431","BS662022","ES717905"
"432","BS662023","ES717906"
"433","BS662024","ES717907"
"434","BS662025","ES717908"
"435","BS662026","ES717909"
"436","BS662027","ES717910"
"437","BS662028","ES717911"
"438","BS662029","ES717912"
"439","BS662030","ES717913"
"440","BS662031","ES717914"
"441","BS662032","ES717915"
"442","BS662033","ES717916"
"443","BS662034","ES717917"
"444","BS662035","ES717918"
"445","BS662036","ES717919"
"446","BS662037","ES717920"
"447","BS662038","ES717921"
"448","BS662039","ES717922"
"449","BS662040","ES717923"
"450","BS662041","ES717924"
"451","BS662042","ES717925"
"452","BS662043","ES717926"
"453","BS662044","ES717927"
"454","BS662045","ES717928"
"455","BS662046","ES717929"
"456","BS662047","ES717930"
"457","BS662048","ES717931"
"458","BS662049","ES717932"
"459","BS662050","ES717933"
"460","BS662051","ES717934"
"461","BS662052","ES717935"
"462","BS662053","ES717936"
"463","BS662054","ES717937"
"464","BS662055","ES717938"
"465","BS662056","ES717939"
"466","BS662057","ES717940"
"467","BS662058","ES717941"
"468","BS662059","ES717942"
"469","BS662060","ES717943"
"470","BS662061","ES717944"
"471","BS662062","ES717945"
"472","BS662063","ES717946"
"473","BS662064","ES717947"
"474","BS662065","ES717948"
"475","BS662066","ES717949"
"476","BS662067","ES717950"
"477","BS662068","ES717951"
"478","BS662069","ES717952"
"479","BS662070","ES717953"
"480","BS662071","ES717954"
"481","BS662072","ES717955"
"482","BS662073","ES717956"
"483","BS662074","ES717957"
"484","BS662075","ES717958"
"485","BS662076","ES717959"
"486","BS662077","ES717960"
"487","BS662078","ES717961"
"488","BS662079","ES717962"
"489","BS662080","ES717963"
"490","BS662081","ES717964"
"491","BS662082","ES717965"
"492","BS662083","ES717966"
"493","BS662084","ES717967"
"494","BS662085","ES717968"
"495","BS662086","ES717969"
"496","BS662087","ES717970"
"497","BS662088","ES717971"
"498","BS662089","ES717972"
"499","BS662090","ES717973"
"500","BS662091","ES717974"
"501","BS662092","ES717975"
"502","BS662093","ES717976"
"503","BS662094","ES717977"
"504","BS662095","ES717978"
"505","BS662096","ES717979"
"506","BS662097","ES717980"
"507","BS662098","ES717981"
"508","BS662099","ES717982"
"509","BS662100","ES717983"
"510","BS662101","ES717984"
"511","BS662102","ES717985"
"512","BS662103","ES717986"
"513","BS662104","ES717987"
"514","BS662105","ES717988"
"515","BS662106","ES717989"
"516","BS662107","ES717990"
"517","BS662108","ES717991"
"518","BS662109","ES717992"
"519","BS662110","ES717993"
"520","BS662111","ES717994"
"521","BS662112","ES717995"
"522","BS662113","ES717996"
"523","BS662114","ES717997"
"524","BS662115","ES717998"
"525","BS662116","ES717999"
"526","BS662117","ES718000"
"527","BS662118","ES718001"
"528","BS662119","ES718002"
"529","BS662120","ES718003"
"530","BS662121","ES718004"
"531","BS662122","ES718005"
"532","BS662123","ES718006"
"533","BS662124","ES718007"
"534","BS662125","ES718008"
"535","BS662126","ES718009"
"536","BS662127","ES718010"
"537","BS662128","ES718011"
"538","BS662129","ES718012"
"539","BS662130","ES718013"
"540","BS662131","ES718014"
"541","BS662132","ES718015"
"542","BS662133","ES718016"
"543","BS662134","ES718017"
"544","BS662135","ES718018"
"545","BS662136","ES718019"
"546","BS662137","ES718020"
"547","BS662138","ES718021"
"548","BS662139","ES718022"
"549","BS662140","ES718023"
"550","BS662141","ES718024"
"551","BS662142","ES718025"
"552","BS662143","ES718026"
"553","BS662144","ES718027"
"554","BS662145","ES718028"
"555","BS662146","ES718029"
"556","BS662147","ES718030"
"557","BS662148","ES718031"
"558","BS662149","ES718032"
"559","BS662150","ES718033"
"560","BS662151","ES718034"
"561","BS662152","ES718035"
"562","BS662153","ES718036"
"563","BS662154","ES718037"
"564","BS662155","ES718038"
"565","BS662156","ES718039"
"566","BS662157","ES718040"
"567","BS662158","ES718041"
"568","BS662159","ES718042"
"569","BS662160","ES718043"
"570","BS662161","ES718044"
"571","BS662162","ES718045"
"572","BS662163","ES718046"
"573","BS662164","ES718047"
"574","BS662165","ES718048"
"575","BS662166","ES718049"
"576","BS662167","ES718050"
"577","BS662168","ES718051"
"578","BS662169","ES718052"
"579","BS662170","ES718053"
"580","BS662171","ES718054"
"581","BS662172","ES718055"
"582","BS662173","ES718056"
"583","BS662174","ES718057"
"584","BS662175","ES718058"
"585","BS662176","ES718059"
"586","BS662177","ES718060"
"587","BS662178","ES718061"
"588","BS662179","ES718062"
"589","BS662180","ES718063"
"590","BS662181","ES718064"
"591","BS662182","ES718065"
"592","BS662183","ES718066"
"593","BS662184","ES718067"
"594","BS662185","ES718068"
"595","BS662186","ES718069"
"596","BS662187","ES718070"
"597","BS662188","ES718071"
"598","BS662189","ES718072"
"599","BS662190","ES718073"
"600","BS662191","ES718074"
"601","BS662192","ES718075"
"602","BS662193","ES718076"
"603","BS662194","ES718077"
"604","BS662195","ES718078"
"605","BS662196","ES718079"
"606","BS662197","ES718080"
"607","BS662198","ES718081"
"608","BS662199","ES718082"
"609","BS662200","ES718083"
"610","BS662201","ES718084"
"611","BS662202","ES718085"
"612","BS662203","ES718086"
"613","BS662204","ES718087"
"614","BS662205","ES718088"
"615","BS662206","ES718089"
"616","BS662207","ES718090"
"617","BS662208","ES718091"
"618","BS662209","ES718092"
"619","BS662210","ES718093"
"620","BS662211","ES718094"
"621","BS662212","ES718095"
"622","BS662213","ES718096"
"623","BS662214","ES718097"
"624","BS662215","ES718098"
"625","BS662216","ES718099"
"626","BS662217","ES718100"
"627","BS662218","ES718101"
"628","BS662219","ES718102"
"629","BS662220","ES718103"
"630","BS662221","ES718104"
"631","BS662222","ES718105"
"632","BS662223","ES718106"
"633","BS662224","ES718107"
"634","BS662225","ES718108"
"635","BS662226","ES718109"
"636","BS662227","ES718110"
"637","BS662228","ES718111"
"638","BS662229","ES718112"
"639","BS662230","ES718113"
"640","BS662231","ES718114"
"641","BS662232","ES718115"
"642","BS662233","ES718116"
"643","BS662234","ES718117"
"644","BS662235","ES718118"
"645","BS662236","ES718119"
"646","BS662237","ES718120"
"647","BS662238","ES718121"
"648","BS662239","ES718122"
"649","BS662240","ES718123"
"650","BS662241","ES718124"
"651","BS662242","ES718125"
"652","BS662243","ES718126"
"653","BS662244","ES718127"
"654","BS662245","ES718128"
"655","BS662246","ES718129"
"656","BS662247","ES718130"
"657","BS662248","ES718131"
"658","BS662249","ES718132"
"659","BS662250","ES718133"
"660","BS662251","ES718134"
"661","BS662252","ES718135"
"662","BS662253","ES718136"
"663","BS662254","ES718137"
"664","BS662255","ES718138"
"665","BS662256","ES718139"
"666","BS662257","ES718140"
"667","BS662258","ES718141"
"668","BS662259","ES718142"
"669","BS662260","ES718143"
"670","BS662261","ES718144"
"671","BS662262","ES718145"
"672","BS662263","ES718146"
"673","BS662264","ES718147"
"674","BS662265","ES718148"
"675","BS662266","ES718149"
"676","BS662267","ES718150"
"677","BS662268","ES718151"
"678","BS662269","ES718152"
"679","BS662270","ES718153"
"680","BS662271","ES718154"
"681","BS662272","ES718155"
"682","BS662273","ES718156"
"683","BS662274","ES718157"
"684","BS662275","ES718158"
"685","BS662276","ES718159"
"686","BS662277","ES718160"
"687","BS662278","ES718161"
"688","BS662279","ES718162"
"689","BS662280","ES718163"
"690","BS662281","ES718164"
"691","BS662282","ES718165"
"692","BS662283","ES718166"
"693","BS662284","ES718167"
"694","BS662285","ES718168"
"695","BS662286","ES718169"
"696","BS662287","ES718170"
"697","BS662288","ES718171"
"698","BS662289","ES718172"
"699","BS662290","ES718173"
"700","BS662291","ES718174"
"701","BS662292","ES718175"
"702","BS662293","ES718176"
"703","BS662294","ES718177"
"704","BS662295","ES718178"
"705","BS662296","ES718179"
"706","BS662297","ES718180"
"707","BS662298","ES718181"
"708","BS662299","ES718182"
"709","BS662300","ES718183"
"710","BS662301","ES718184"
"711","BS662302","ES718185"
"712","BS662303","ES718186"
"713","BS662304","ES718187"
"714","BS662305","ES718188"
"715","BS662306","ES718189"
"716","BS662307","ES718190"
"717","BS662308","ES718191"
"718","BS662309","ES718192"
"719","BS662310","ES718193"
"720","BS662311","ES718194"
"721","BS662312","ES718195"
"722","BS662313","ES718196"
"723","BS662314","ES718197"
"724","BS662315","ES718198"
"725","BS662316","ES718199"
"726","BS662317","ES718200"
"727","BS662318","ES718201"
"728","BS662319","ES718202"
"729","BS662320","ES718203"
"730","BS662321","ES718204"
"731","BS662322","ES718205"
"732","BS662323","ES718206"
"733","BS662324","ES718207"
"734","BS662325","ES718208"
"735","BS662326","ES718209"
"736","BS662327","ES718210"
"737","BS662328","ES718211"
"738","BS662329","ES718212"
"739","BS662330","ES718213"
"740","BS662331","ES718214"
"741","BS662332","ES718215"
"742","BS662333","ES718216"
"743","BS662334","ES718217"
"744","BS662335","ES718218"
"745","BS662336","ES718219"
"746","BS662337","ES718220"
"747","BS662338","ES718221"
"748","BS662339","ES718222"
"749","BS662340","ES718223"
"750","BS662341","ES718224"
"751","BS662342","ES718225"
"752","BS662343","ES718226"
"753","BS662344","ES718227"
"754","BS662345","ES718228"
"755","BS662346","ES718229"
"756","BS662347","ES718230"
"757","BS662348","ES718231"
"758","BS662349","ES718232"
"759","BS662350","ES718233"
"760","BS662351","ES718234"
"761","BS662352","ES718235"
"762","BS662353","ES718236"
"763","BS662354","ES718237"
"764","BS662355","ES718238"
"765","BS662356","ES718239"
"766","BS662357","ES718240"
"767","BS662358","ES718241"
"768","BS662359","ES718242"
"769","BS662360","ES718243"
"770","BS662361","ES718244"
"771","BS662362","ES718245"
"772","BS662363","ES718246"
"773","BS662364","ES718247"
"774","BS662365","ES718248"
"775","BS662366","ES718249"
"776","BS662367","ES718250"
"777","BS662368","ES718251"
"778","BS662369","ES718252"
"779","BS662370","ES718253"
"780","BS662371","ES718254"
"781","BS662372","ES718255"
"782","BS662373","ES718256"
"783","BS662374","ES718257"
"784","BS662375","ES718258"
"785","BS662376","ES718259"
"786","BS662377","ES718260"
"787","BS662378","ES718261"
"788","BS662379","ES718262"
"789","BS662380","ES718263"
"790","BS662381","ES718264"
"791","BS662382","ES718265"
"792","BS662383","ES718266"
"793","BS662384","ES718267"
"794","BS662385","ES718268"
"795","BS662386","ES718269"
"796","BS662387","ES718270"
"797","BS662388","ES718271"
"798","BS662389","ES718272"
"799","BS662390","ES718273"
"800","BS662391","ES718274"
"801","BS662392","ES718275"
"802","BS662393","ES718276"
"803","BS662394","ES718277"
"804","BS662395","ES718278"
"805","BS662396","ES718279"
"806","BS662397","ES718280"
"807","BS662398","ES718281"
"808","BS662399","ES718282"
"809","BS662400","ES718283"
"810","BS662401","ES718284"
"811","BS662402","ES718285"
"812","BS662403","ES718286"
"813","BS662404","ES718287"
"814","BS662405","ES718288"
"815","BS662406","ES718289"
"816","BS662407","ES718290"
"817","BS662408","ES718291"
"818","BS662409","ES718292"
"819","BS662410","ES718293"
"820","BS662411","ES718294"
"821","BS662412","ES718295"
"822","BS662413","ES718296"
"823","BS662414","ES718297"
"824","BS662415","ES718298"
"825","BS662416","ES718299"
"826","BS662417","ES718300"
"827","BS662418","ES718301"
"828","BS662419","ES718302"
"829","BS662420","ES718303"
"830","BS662421","ES718304"
"831","BS662422","ES718305"
"832","BS662423","ES718306"
"833","BS662424","ES718307"
"834","BS662425","ES718308"
"835","BS662426","ES718309"
"836","BS662427","ES718310"
"837","BS662428","ES718311"
"838","BS662429","ES718312"
"839","BS662430","ES718313"
"840","BS662431","ES718314"
"841","BS662432","ES718315"
"842","BS662433","ES718316"
"843","BS662434","ES718317"
"844","BS689125","ES735932"
"845","BS689126","ES735933"
"846","BS689127","ES735934"
"847","BS689128","ES735935"
"848","BS689129","ES735936"
"849","BS689130","ES735937"
"850","BS689131","ES735938"
"851","BS689132","ES735939"
"852","BS689133","ES735940"
"853","BS689134","ES735941"
"854","BS689135","ES735942"
"855","BS689136","ES735943"
"856","BS689137","ES735944"
"857","BS689138","ES735945"
"858","BS689139","ES735946"
"859","BS689140","ES735947"
"860","BS689141","ES735948"
"861","BS689142","ES735949"
"862","BS689143","ES735950"
"863","BS689144","ES735951"
"864","BS689145","ES735952"
"865","BS689146","ES735953"
"866","BS689147","ES735954"
"867","BS689148","ES735955"
"868","BS689149","ES735956"
"869","BS689150","ES735957"
"870","BS689151","ES735958"
"871","BS689152","ES735959"
"872","BS689153","ES735960"
"873","BS689154","ES735961"
"874","BS689155","ES735962"
"875","BS689156","ES735963"
"876","BS689157","ES735964"
"877","BS689158","ES735965"
"878","BS689159","ES735966"
"879","BS689160","ES735967"
"880","BS689161","ES735968"
"881","BS689162","ES735969"
"882","BS689163","ES735970"
"883","BS689164","ES735971"
"884","BS689165","ES735972"
"885","BS689166","ES735973"
"886","BS689167","ES735974"
"887","BS689168","ES735975"
"888","BS689169","ES735976"
"889","BS689170","ES735977"
"890","BS689171","ES735978"
"891","BS689172","ES735979"
"892","BS689173","ES735980"
"893","BS689174","ES735981"
"894","BS689175","ES735982"
"895","BS689176","ES735983"
"896","BS689177","ES735984"
"897","BS689178","ES735985"
"898","BS689179","ES735986"
"899","BS689180","ES735987"
"900","BS689181","ES735988"
"901","BS689182","ES735989"
"902","BS689183","ES735990"
"903","BS689184","ES735991"
"904","BS689185","ES735992"
"905","BS689186","ES735993"
"906","BS689187","ES735994"
"907","BS689188","ES735995"
"908","BS689189","ES735996"
"909","BS689190","ES735997"
"910","BS689191","ES735998"
"911","BS689192","ES735999"
"912","BS689193","ES736000"
"913","BS689194","ES736001"
"914","BS689195","ES736002"
"915","BS689196","ES736003"
"916","BS689197","ES736004"
"917","BS689198","ES736005"
"918","BS689199","ES736006"
"919","BS689200","ES736007"
"920","BS689201","ES736008"
"921","BS689202","ES736009"
"922","BS689203","ES736010"
"923","BS689204","ES736011"
"924","BS689205","ES736012"
"925","BS689206","ES736013"
"926","BS689207","ES736014"
"927","BS689208","ES736015"
"928","BS689209","ES736016"
"929","BS689210","ES736017"
"930","BS689211","ES736018"
"931","BS689212","ES736019"
"932","BS689213","ES736020"
"933","BS689214","ES736021"
"934","BS689215","ES736022"
"935","BS689216","ES736023"
"936","BS689217","ES736024"
"937","BS689218","ES736025"
"938","BS689219","ES736026"
"939","BS689220","ES736027"
"940","BS689221","ES736028"
"941","BS689222","ES736029"
"942","BS689223","ES736030"
"943","BS689224","ES736031"
"944","BS689225","ES736032"
"945","BS689226","ES736033"
"946","BS689227","ES736034"
"947","BS689228","ES736035"
"948","BS689229","ES736036"
"949","BS689230","ES736037"
"950","BS689231","ES736038"
"951","BS689232","ES736039"
"952","BS689233","ES736040"
"953","BS689234","ES736041"
"954","BS689235","ES736042"
"955","BS689236","ES736043"
"956","BS689237","ES736044"
"957","BS689238","ES736045"
"958","BS689239","ES736046"
"959","BS689240","ES736047"
"960","BS689241","ES736048"
"961","BS689242","ES736049"
"962","BS689243","ES736050"
"963","BS689244","ES736051"
"964","BS689245","ES736052"
"965","BS689246","ES736053"
"966","BS689247","ES736054"
"967","BS689248","ES736055"
"968","BS689249","ES736056"
"969","BS689250","ES736057"
"970","BS689251","ES736058"
"971","BS689252","ES736059"
"972","BS689253","ES736060"
"973","BS689254","ES736061"
"974","BS689255","ES736062"
"975","BS689256","ES736063"
"976","BS689257","ES736064"
"977","BS689258","ES736065"
"978","BS689259","ES736066"
"979","BS689260","ES736067"
"980","BS689261","ES736068"
"981","BS689262","ES736069"
"982","BS689263","ES736070"
"983","BS689264","ES736071"
"984","BS689265","ES736072"
"985","BS689266","ES736073"
"986","BS689267","ES736074"
"987","BS689268","ES736075"
"988","BS689269","ES736076"
"989","BS689270","ES736077"
"990","BS689271","ES736078"
