"","NAME","DISEASE_ONTOLOGY_ID","DESCRIPTION","LINK","HUMAN_PHENOTYPE_ID"
"40","West Nile encephalitis","DOID:2365","A viral infectious disease that results in inflammation located in brain, has_material_basis_in West Nile virus, which is transmitted_by Culex, transmitted by Aedes, and transmitted_by Anopheles species of mosquitoes. The infection has_symptom high fever, has_symptom headache, has_symptom neck stiffness, has_symptom stupor, has_symptom disorientation, has_symptom coma, has_symptom tremors, has_symptom convulsions, has_symptom muscle weakness, has_symptom vision loss, has_symptom numbness, and has_symptom paralysis.","http://purl.obolibrary.org/obo/DOID_2365",""
"41","Zika fever","DOID:0060478","A viral infectious disease that has_material_basis in Zika virus, which is transmitted_by Aedes aegypti mosquitoes and targets neural progenitor cells and  neuronal cells in all stages of maturity and has_symptom fever, has_symptom rash, has_symptom headaches and has_symptom joint pain.","http://purl.obolibrary.org/obo/DOID_0060478",""
"42","Heart Transplantation","NCIT:C15246","A surgical procedure in which a damaged heart is removed and replaced by another heart from a suitable donor.","http://purl.obolibrary.org/obo/NCIT_C15246",""
"43","chickenpox","DOID:8659","A viral infectious disease that results_in infection located_in skin, has_material_basis_in Human herpesvirus 3, which is transmitted_by direct contact with secretions from the rash, or transmitted_by droplet spread of respiratory secretions. The infection has_symptom anorexia, has_symptom myalgia, has_symptom nausea, has_symptom fever, has_symptom headache, has_symptom sore throat, and has_symptom blisters.","http://purl.obolibrary.org/obo/DOID_8659",""
"44","dengue hemorrhagic fever","DOID:12206","A dengue disease that occurs when a person experiences a second infection with a heterologous Dengue virus serotype, which is transmitted_by Aedes mosquito bite. The infection has_symptom hemorrhagic lesions of the skin, has_symptom thrombocytopenia, has_symptom reduction in the fluid part of the blood, and has_symptom high fever.","http://purl.obolibrary.org/obo/DOID_12206",""
"45","chorioamnionitis","DOID:0050697","A placenta disease that is an inflammation of the fetal membranes (amnion and chorion) due to a bacterial infection.","http://purl.obolibrary.org/obo/DOID_0050697",""
"46","multiple sclerosis","DOID:2377","A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.","http://purl.obolibrary.org/obo/DOID_2377",""
"47","pemphigus vulgaris","DOID:0060851","A pemphigus characterized by autosomal dominant blisters and erosions on the skin and mucous membranes erosions cause by autoantibodies to intercellular cement substance.","http://purl.obolibrary.org/obo/DOID_0060851",""
"48","psoriasis","DOID:8893","A skin disease that is characterized by patches of thick red skin and silvery scales.","http://purl.obolibrary.org/obo/DOID_8893","HP:0003765"
"49","chronic plaque psoriasis",NA,"Chronic plaque psoriasis is the most common presentation of psoriasis. It presents as small to large, well-demarcated, red, scaly and thickened areas of skin. It most likely to affect elbows, knees, and lower back but may arise on any part of the body.","https://dermnetnz.org/topics/chronic-plaque-psoriasis/","HP:0003765"
"50","tuberculosis","DOID:399","A primary bacterial infectious disease that is located_in lungs, located_in lymph nodes, located_in pericardium, located_in brain, located_in pleura or located_in gastrointestinal tract, has_material_basis_in Mycobacterium tuberculosis, which is transmitted_by droplets released into the air when an infected person coughs or sneezes.","http://purl.obolibrary.org/obo/DOID_399",""
"51","clinically isolated syndrome",NA,"Clinically isolated syndrome (CIS) is one of the MS disease courses. CIS refers to a first episode of neurologic symptoms that lasts at least 24 hours and is caused by inflammation or demyelination (loss of the myelin that covers the nerve cells) in the central nervous system (CNS).","https://www.nationalmssociety.org/Symptoms-Diagnosis/Clinically-Isolated-Syndrome-(CIS)",""
"52","allergic hypersensitivity disease","DOID:1205","An immune system disease that is an exaggerated immune response to allergens, such as insect venom, dust mites, pollen, pet dander, drugs or some foods.","http://purl.obolibrary.org/obo/DOID_1205","HP:0012393"
"53","allergic rhinitis","DOID:4481","A rhinitis that is an allergic inflammation and irritation of the nasal airways involving sneezing, runny nose, nasal congestion, itching and tearing of the eyes caused by exposure to an allergen such as pollen, dust, mold, animal dander and droppings of cockroaches or house dust mites.","http://purl.obolibrary.org/obo/DOID_4481","HP:0003193"
"54","Clostridium difficile colitis","DOID:0060185","A colitis characterized by an overgrowth of Clostridium difficile bacteria.","http://purl.obolibrary.org/obo/DOID_0060185",""
"55","atopic dermatitis","DOID:3310","An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.","http://purl.obolibrary.org/obo/DOID_3310","HP:0001047"
"56","colitis","DOID:0060180","An inflammatory bowel disease that involves inflammation located_in colon.","http://purl.obolibrary.org/obo/DOID_0060180","HP:0002583"
"57","colorectal cancer","DOID:9256","A large intestine cancer that is located_in the colon and/or located_in the rectum.","http://purl.obolibrary.org/obo/DOID_9256","HP:0100834"
"58","Cytogenetically Normal Acute Myeloid Leukemia","NCIT:C122687","Acute myeloid leukemia not associated with cytogenetic abnormalities.","http://purl.obolibrary.org/obo/NCIT_C122687","HP:0004808"
"59","diphtheria","DOID:11405","A primary bacterial infectious disease that is characterized by sore throat, low fever, and an adherent membrane (a pseudomembrane) on the tonsils, pharynx, and/or nasal cavity. A milder form of diphtheria can be restricted to the skin. It is caused by Corynebacterium diphtheriae, an aerobic Gram-positive bacterium. Diphtheria toxin spreads through the bloodstream and can lead to potentially life-threatening complications that affect other organs of the body, such as the heart and kidneys.","http://purl.obolibrary.org/obo/DOID_11405",""
"60","Ebola hemorrhagic fever","DOID:4325","A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Zaire ebolavirus, has_material_basis_in Sudan ebolavirus, has_material_basis_in Cote d'Ivoire ebolavirus, or has_material_basis_in Bundibugyo ebolavirus, which are transmitted_by contact with the body fluids of an infected animal or person, transmitted by contaminated fomites, or transmitted by infected medical equipment. The infection has_symptom fever, has_symptom headache, has_symptom joint pain, has_symptom muscle aches, has_symptom sore throat, has_symptom weakness, has_symptom diarrhea, has_symptom vomiting, has_symptom stomach pain, has_symptom rash, has_symptom red eyes, has_symptom hiccups, and has_symptom internal and external bleeding.","http://purl.obolibrary.org/obo/DOID_4325",""
"61","childhood type dermatomyositis","DOID:14203","childhood type dermatomyositis","http://purl.obolibrary.org/obo/DOID_14203",""
"62","cholera","DOID:1498","A primary bacterial infectious disease that is described as an acute, diarrheal illness caused by infection of the intestine with the bacterium Vibrio cholerae, which is characterized by profuse watery diarrhea, vomiting, leg cramps, circulatory collapse and shock.","http://purl.obolibrary.org/obo/DOID_1498",""
"63","eczema vaccinatum",NA,"Eczema vaccinatum: A common concern with smallpox vaccination involving the implantation of the vaccinia virus from the vaccination into the skin of a person with eczema (atopic dermatitis), sometimes with a fatal outcome. Disrupted skin permits viral implantation. Once the virus is implanted, it spreads from cell to cell producing extensive lesions. The skin lesions appear identical to a primary smallpox vaccination. Confluent lesions often cover the entire face, the crook of the elbow in the antecubital fossa, and behind the knee in the popliteal fossa. Viremia (viral spread through the bloodstream) may also occur allowing for the spread of virus to other parts of the body, including skin that is not affected by eczema. Bacterial and fungal invas","https://www.medicinenet.com/script/main/art.asp?articlekey=21872",""
"64","eczema herpeticum","DOID:9123","A herpes simplex that results_in infection located_in skin, effected by preexisting dermatosis, has_material_basis_in Human herpesvirus 1 or Human herpesvirus 2. The infection has_symptom watery blisters, has_symptom fever, and has_symptom swelling of the lymph nodes.","http://purl.obolibrary.org/obo/DOID_9123",""
"65","egg allergy","DOID:4377","A food allergy that is an allergy or hypersensitivity to dietary substances from the yolk or whites of eggs, causing an overreaction of the immune system which may lead to severe physical symptoms.","http://purl.obolibrary.org/obo/DOID_4377",""
"66","granulomatosis with polyangiitis","DOID:12132","An autoimmune disease that is characterized by necrotizing granulomatous inflammation of the upper and lower respiratory tract, glomerulonephritis, vasculitis, and the presence of antineutrophil cytoplasmatic autoantibodies (ANCAs) in patient sera, and is located_in lung, located_in kidney, located_in skin resulting from an autoimmune attack by antineutrophil cytoplasmic antibodies against small and medium-size blood vessels.","http://purl.obolibrary.org/obo/DOID_12132",""
"67","encephalitis","DOID:9588","A brain disease that is characterized as an acute inflammation of the brain with flu-like symptoms.","http://purl.obolibrary.org/obo/DOID_9588","HP:0002383"
"68","eosinophilic esophagitis","DOID:13922","An esophagitis characterized by inflammation involving eosinophils located_in esophagus.","http://purl.obolibrary.org/obo/DOID_13922",""
"69","hepatitis B","DOID:2043","A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis B virus, which is transmitted_by sexual contact, transmitted_by blood transfusions, and transmitted_by fomites like needles or syringes. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.","http://purl.obolibrary.org/obo/DOID_2043",""
"70","herpes zoster","DOID:8536","A viral infectious disease that results_in infection located_in nerve fiber, has_material_basis_in Human herpesvirus 3, which reactivates after appearing as chickenpox in childhood. The virus is transmitted_by direct contact with the rash, which can develop into chickenpox in newly-infected individuals. The infection has_symptom rash which is followed by blisters, has_symptom headache, has_symptom fever, has_symptom malaise, has_symptom itching, has_symptom burning pain, and has_symptom paresthesia.","http://purl.obolibrary.org/obo/DOID_8536",""
"71","haemophilus meningitis","DOID:0080179","A bacterial meningitis that has_material_basis_in Haemophilus influenzae infection.","http://purl.obolibrary.org/obo/DOID_0080179",""
"72","hepatitis A","DOID:12549","A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis A virus, which is transmitted_by ingestion of contaminated food or water, or transmitted_by direct contact with an infected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.","http://purl.obolibrary.org/obo/DOID_12549",""
"73","influenza","DOID:8469","A viral infectious disease that results in infection, located in respiratory tract, has_material_basis_in Influenzavirus A, has_material_basis_in Influenzavirus B, or has_material_basis_in Influenzavirus C, which are transmitted_by droplet spread of oronasal secretions during coughing, sneezing, or talking from an infected person. It is a highly contagious disease that affects birds and mammals and has_symptom chills, has_symptom fever, has_symptom sore throat, has_symptom runny nose, has_symptom muscle pains, has_symptom severe headache, has_symptom cough, and has_symptom weakness.","http://purl.obolibrary.org/obo/DOID_8469",""
"74","hepatitis C","DOID:1883","A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis C virus, which is transmitted_by blood from an infected person enters the body of an uninfected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.","http://purl.obolibrary.org/obo/DOID_1883",""
"75","lung cancer","DOID:1324","A respiratory system cancer that is located_in the lung.","http://purl.obolibrary.org/obo/DOID_1324",""
"76","lupus nephritis","DOID:0080162","A glomerulonephritis that is characterized by inflammation of the kidneys resulting from systemic lupus erythematosus.","http://purl.obolibrary.org/obo/DOID_0080162",""
"77","intestinal infectious disease","DOID:100","An intestinal disease that involves intestinal infection that has_material_basis_in viruses, bacteria, fungi and parasites.","http://purl.obolibrary.org/obo/DOID_100",""
"78","juvenile rheumatoid arthritis","DOID:676","A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.","http://purl.obolibrary.org/obo/DOID_676",""
"79","Listeria meningitis","DOID:11572","A bacterial meningitis that has_material_basis_in Listeria monocytogenes infection.","http://purl.obolibrary.org/obo/DOID_11572",""
"80","myocarditis","DOID:820","An extrinsic cardiomyopathy that is characterized as an inflammation of the heart muscle.","http://purl.obolibrary.org/obo/DOID_820","HP:0012819"
"81","lung adenocarcinoma","DOID:3910","A lung non-small cell carcinoma that derives_from epithelial cells of glandular origin.","http://purl.obolibrary.org/obo/DOID_3910","HP:0030078"
"82","lymphocytic choriomeningitis","DOID:12155","A viral infectious disease that results in infection located in brain, or located in meninges, or located in brain and meninges, has_material_basis_in Lymphocytic choriomeningitis virus, which is transmitted by common house mouse, Mus musculus. The infection has symptom fever, has symptom lack of appetite, has symptom headache, has symptom muscle aches, has symptom malaise, has symptom nausea, and has symptom vomiting.","http://purl.obolibrary.org/obo/DOID_12155",""
"83","measles","DOID:8622","A viral infectious disease that results_in infection located_in skin, has_material_basis_in Measles virus, which is transmitted_by contact with oronasal secretions, or semen of an infected person. The infection has_symptom fever, has_symptom cough, has_symptom coryza, has_symptom conjunctivitis, and has_symptom maculopapular, erythematous rash.","http://purl.obolibrary.org/obo/DOID_8622",""
"84","pre-eclampsia","DOID:10591","A hypertension occurring during pregnancy characterized by large amounts of protein in the urine (proteinuria) and edema, usually by the last trimester of pregnancy.","http://purl.obolibrary.org/obo/DOID_10591","HP:0100602"
"85","psoriatic arthritis","DOID:9008","An arthritis that is characterized by joint inflammation that usually occurs in combination with psoriasis.","http://purl.obolibrary.org/obo/DOID_9008",""
"86","pustulosis of palm and sole","DOID:4398","pustulosis of palm and sole","http://purl.obolibrary.org/obo/DOID_4398","HP:0100847"
"87","meningitis","DOID:9471","A central nervous system disease that is characterized by an inflammation of the pia-arachnoid meninges. It can be caused by growth of bacteria, fungi, or parasites within the subarachnoid space or by the growth of bacteria or viruses within the meningeal or ependymal cells.","http://purl.obolibrary.org/obo/DOID_9471","HP:0001287"
"88","meningococcal meningitis","DOID:0080176","A bacterial meningitis that has_material_basis_in Neisseria meningitidis infection.","http://purl.obolibrary.org/obo/DOID_0080176",""
"89","smallpox","DOID:8736","A viral infectious disease that results in infection located in skin, has_material_basis_in Variola virus, which is transmitted by droplets from oral, nasal or pharyngeal mucosa, transmitted by contact with the body fluids, or transmitted by fomites. The infection results in formation of lesions, first on the face, hands and forearms and later on the trunk.","http://purl.obolibrary.org/obo/DOID_8736",""
"90","meningoencephalitis","DOID:10554","A central nervous system disease that involves encephalitis which occurs along with meningitis.","http://purl.obolibrary.org/obo/DOID_10554",""
"91","milk allergy","DOID:4376","A food allergy that results in adverse immune reaction to one or more of the proteins in cow's milk and/or the milk of other animals, which are normally harmless to the non-allergic individual.","http://purl.obolibrary.org/obo/DOID_4376",""
"92","type 2 diabetes mellitus","DOID:9352","A diabetes mellitus that is characterized by high blood sugar, insulin resistance, and relative lack of insulin.","http://purl.obolibrary.org/obo/DOID_9352","HP:0005978"
"93","molluscum contagiosum","DOID:8867","A viral infectious disease that results_in infection located_in skin, has_material_basis_in Molluscum contagiosum virus, which is transmitted_by contact with the skin, and transmitted_by fomites. The infection has_symptom lesions which are flesh-colored with a pit in the center.","http://purl.obolibrary.org/obo/DOID_8867",""
"94","yellow fever","DOID:9682","A viral infectious disease that results in infection, has_material_basis_in Yellow fever virus, which is transmitted by Aedes, transmitted by Haemagogus, or transmitted by Sabethes species of mosquitoes. The infection has symptom fever, has symptom muscle pain, has symptom backache, has symptom headache, has symptom shivers, has symptom loss of appetite, has symptom jaundice, and has symptom bleeding from the mouth, nose, eyes or stomach leading to vomitus containing blood.","http://purl.obolibrary.org/obo/DOID_9682",""
"95","Aging","NCIT:C16269","The process of change in the structure and function of an organism that occurs with the passage of time.","http://purl.obolibrary.org/obo/NCIT_C16269",""
"96","muscle invasive bladder cancer",NA,"Muscle invasive bladder cancer (MIBC) is a cancer that spreads into the detrusor muscle of the bladder. The detrusor muscle is the thick muscle deep in the bladder wall. This cancer is more likely to spread to other parts of the body. About 1 out of 4 people who get bladder cancer in the United States have the muscle invasive kind.","https://www.urologyhealth.org/urologic-conditions/muscle-invasive-bladder-cancer","HP:0009725"
"97","mumps","DOID:10264","A viral infectious disease that results in inflammation located in salivary gland, has_material_basis_in Mumps rubulavirus, which is transmitted by droplet spread of saliva or mucus from the mouth, nose, or throat of an infected person, or transmitted by contaminated fomites. The infection has symptom fever, has symptom headache, has symptom muscle aches, has symptom tiredness, has symptom loss of appetite, has symptom swollen and tender salivary glands under the ears or jaw on one or both sides of the face.","http://purl.obolibrary.org/obo/DOID_10264",""
"98","Newcastle disease","DOID:2929","A viral infectious disease that results_in infection in birds and humans, has_material_basis_in Newcastle disease virus, which is transmitted_by contact with feces and urine of an infected bird, or transmitted_by fomites. The infection has_symptom conjunctivitis, has_symptom headache, and has_symptom lacrimation in humans, and has_symptom gasping, has_symptom coughing, has_symptom twisting of head and neck, has_symptom circling, has_symptom complete paralysis, has_symptom watery diarrhea, and has_symptom reduced egg production in birds.","http://purl.obolibrary.org/obo/DOID_2929",""
"99","optic nerve glioma","DOID:4992","optic nerve glioma","http://purl.obolibrary.org/obo/DOID_4992","HP:0009734"
"100","peanut allergy","DOID:4378","A legume allergy that is an allergy or hypersensitivity to dietary substances from peanuts causing an overreaction of the immune system which in a small percentage of people may lead to severe physical symptoms.","http://purl.obolibrary.org/obo/DOID_4378",""
"101","Perennial Allergic Rhinitis","NCIT:C92189","Allergic rhinitis caused by indoor allergens and lasting year round.","http://purl.obolibrary.org/obo/NCIT_C92189","HP:0003193"
"102","pertussis","DOID:1116","A commensal bacterial infectious disease that results_in inflammation located_in respiratory tract, has_material_basis_in Bordetella pertussis, or has_material_basis_in Bordetella parapertussis, which produce toxins that paralyze the cilia of the respiratory epithelial cells. The infection is characterized by a prolonged, high-pitched, deeply indrawn breath (whoop).","http://purl.obolibrary.org/obo/DOID_1116",""
"103","pharyngitis","DOID:2275","An upper respiratory tract disease involving inflammation of the throat or pharynx resulting from bacterial, viral, fungal infections or irritants like pollutants or chemical substances and smoking. The infection is often referred to as sore throat. The symptoms include pain during swallowing, enlarged tonsils coated with a white discharge, runny nose, cough and slight fever.","http://purl.obolibrary.org/obo/DOID_2275",""
"104","plague","DOID:3482","A primary bacterial infectious disease that results_in infection, located_in lymph node, located_in vasculature or located_in lungs, has_material_basis_in Yersinia pestis, which is transmitted_by oriental rat flea (Xenopsylla cheopis) infected by feeding on rodents and other mammals, transmitted_by air, transmitted_by direct contact or transmitted_by ingestion of contaminated undercooked food.","http://purl.obolibrary.org/obo/DOID_3482",""
"105","Plasmodium falciparum malaria","DOID:14067","A malaria described as a severe form of the disease caused by a parasite Plasmodium falciparum, which is marked by irrregular recurrence of paroxysms and prolonged or continuous fever.","http://purl.obolibrary.org/obo/DOID_14067",""
"106","Plasmodium vivax malaria","DOID:12978","A malaria that is caused by the protozoan parasite Plasmodium vivax, which induces paroxysms at 48-hour intervals.","http://purl.obolibrary.org/obo/DOID_12978",""
