"","NAME","DESCRIPTION","LINK"
"11","EMSA","Electrophoretic mobility shift assay  is an assay which aims to provide information about Protein-DNA or Protein-RNA interaction and which used gel electrophoresis and relies on the fact the molecular interactions will cause the heterodimer to be retarded on the gel when compared to controls corresponding to protein extract alone and protein extract + neutral nucleic acid.","http://purl.obolibrary.org/obo/OBI_0001671"
"12","Exome Sequencing","Technique for sequencing all the protein-coding genes in a genome (known as the exome). Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact.","http://purl.obolibrary.org/obo/OBI_0002118"
"13","Flow Cytometry","Fluorescence Activated Cell Sorting","http://purl.obolibrary.org/obo/OBI_0000916"
"14","HLA Typing","Human Leukocyte Antigen typing.","http://purl.obolibrary.org/obo/OBI_0002122"
"15","HPLC","High Performace Liquid Chromotography is used to separate components of a mixture by using a variety of chemical interactions between the substance being analyzed (analyte) and the chromatography column.","http://purl.obolibrary.org/obo/OBI_0002116"
"16","Hemagglutination Inhibition","Quantitate serum antibody to a specific antigen by blocking agglutination of cells.","http://purl.obolibrary.org/obo/OBI_0000875"
"17","Immunoblot","a western blot analysis is an assay which allows detection of protein present in a extract resolved on polyacrylamide gel by electrophoresis, transfered to a membrane made of nitrocellulose or polyvinylidene difluoride and immobilized using formaldehyde based cross linking.","http://purl.obolibrary.org/obo/OBI_0000854"
"18","Immunoprecipitation","An assay with the objective to determine presence of an analyte by mixing a solution of antigen and antibody and separating out bound antigen:antibody complexes using immunoprecipitation.","http://purl.obolibrary.org/obo/OBI_0001700"
"19","KIR Typing","Killer cell immunoglobulin-like receptors.","http://purl.obolibrary.org/obo/OBI_0002122"
"20","Line Probe Assay","PCR amplification of a genomic region is performed using biotinylated primers. Following amplification, labelled PCR products are hybridized with specific oligonucleotide probes immobilized on a strip.","http://purl.obolibrary.org/obo/OBI_0000892"
"21","Liquid Chromatography","Chromatography is the collective term for a family of laboratory techniques for the separation of mixtures. It involves passing a mixture which contains the analyte through a stationary phase, which separates it from other molecules in the mixture and allows it to be isolated.","http://purl.obolibrary.org/obo/OBI_0001057"
"22","Luminex xMAP","Microsphere based multiplexing system. Microspheres are color coded and linked to a detector or capture reagent (e.g. antibody, oligonucleotides, peptides, or receptors).","http://purl.obolibrary.org/obo/OBI_0000920"
"23","Mass Spectrometry","Mass spectrometry is an analytical technique used to measure the mass-to-charge ratio of ions.","http://purl.obolibrary.org/obo/OBI_0000470"
"24","Meso Scale Discovery ECL","MSD Electrochemiluminescence (ECL) detection uses labels that emit light when electrochemically stimulated.","http://en.wikipedia.org/wiki/Electrochemiluminescence"
"25","Microscopy","Visualization of very small entities from cellular to sub-cellular and molecular resolution depending on technique.","http://purl.obolibrary.org/obo/OBI_0002119"
"26","Mixed Lymphocyte Reaction","Mixed lymphocyte reaction test is a measure of histocompatibility at the HLA locus. Peripheral blood lymphocytes from two individuals are mixed together in tissue culture for several days; lymphocytes from incompatible individuals will stimulate each other to proliferate significantly (e.g. measured by tritiated thymidine uptake) whereas those from compatible individuals will not; in the one\-way MLC test, the lymphocytes from one of the individuals are inactivated thereby allowing only the untreated remaining population of cells to proliferate in response to foreign histocompatibility antigens.","http://purl.obolibrary.org/obo/OBI_0002120"
"27","Molecular Cloning","Molecular cloning refers to the procedure isolating a DNA sequence of interest and obtaining multiple copies of it in an organism.","http://purl.obolibrary.org/obo/OBI_0600064"
"28","NMR","Nuclear Magnetic Resonance spectroscopy is a technique for determining the structure of organic compounds.","http://purl.obolibrary.org/obo/OBI_0000623"
"29","Nanostring","Nanostring technology uses molecular ""barcodes"" and single molecule imaging to detect and count hundreds of unique transcripts in a single reaction.","http://www.nanostring.com/applications/technology"
"30","Neutralizing Antibody Titer Assay","A quantitative assay where different dilutions of serum are mixed with virus and used to infect cells. At the lower dilutions, antibodies will block infection, but at higher dilutions, there will be too few antibodies to have an effect. The simple process of dilution provides a way to compare the virus- neutralizing abilities of different sera. The neutralization titer is expressed as the reciprocal of the highest dilution at which virus infection is blocked.","http://purl.obolibrary.org/obo/OBI_0000872"
"31","Northern Blot","Northern blots are a derivative of Southern blots where RNA that has been size fractionated (often by 1-D gel electrophoresis) is immobilized on a substrate (e.g. a charged nylon membrane). The blot is(are) hybridized with a labeled probe(s). The position on the blot and the intensity of the label's signal can be used to estimate RNA size and concentration, respectively.","http://purl.obolibrary.org/obo/OBI_0000860"
"32","Other","Other Experiment Measurement Technique not listed.",""
"33","PCR","Polymerase Chain Reaction is a technique to amplify a DNA template.","http://purl.obolibrary.org/obo/OBI_0000415"
"34","Q-PCR","Quantitative Polymerase Chain Reaction is used to measure the gene expression of transcripts by comparing the number of cycles in a sample needed to reach a certain threshold value with the known quantities of a transcript needed to reach the same threshold.","http://purl.obolibrary.org/obo/OBI_0000415"
"35","RNA sequencing","Sequencing process which uses ribonucleic acid as input and results in a the creation of RNA sequence information artifact.","http://purl.obolibrary.org/obo/OBI_0001177;http://purl.obolibrary.org/obo/OBI_0001271"
"36","Rnase Protection Assay","A laboratory technique to identify individual RNA molecules in a heterogeneous RNA sample extracted from cells.","http://en.wikipedia.org/wiki/RNase_protection_assay"
"37","Sequencing","Sequencing is used to discover new sequence variants and to genotype a sample for known variants.","http://purl.obolibrary.org/obo/OBI_0600047"
"38","Southern Blot","A Southern blot is a method of capturing DNA molecules that have been seperated by agarose gel electrophoresis for subsequent analysis.","http://purl.obolibrary.org/obo/OBI_0000892"
"39","Surface Plasmon Resonance","An assay that uses the detection of electromagnetic waves in a surface to detect material entities adsorbed to the surface, which changes the local index of refraction.","http://purl.obolibrary.org/obo/OBI_0000923"
"40","TCID50","50 percent Tissue Culture Infective Dose, (TCID50) is the measure of infectious virus titer. This endpoint dilution assay quantifies the amount of virus required to kill 50% of infected hosts or to produce a cytopathic effect in 50% of inoculated tissue culture cells.","http://en.wikipedia.org/wiki/Virus_Quantification"
"41","Virus Neutralization","Block a viral function.","http://purl.obolibrary.org/obo/OBI_0000872"
"42","Western Blot","Western blot is a method in molecular biology/biochemistry/immunogenetics to detect protein in a given sample of tissue homogenate or extract. It uses gel electrophoresis to separate denatured proteins by mass. The proteins are then transferred out of the gel and onto a membrane (typically nitrocellulose), where they are probed using antibodies specific to the protein. As a result, researchers can examine the amount of protein in a given sample and compare levels between several groups. Other techniques also using antibodies allow detection of proteins in tissues (immunohistochemistry) and cells (immunocytochemistry). The confirmatory HIV test employs a western blot to detect anti-HIV antibody in a human serum sample. A Western blot is also used as the definitive test for Bovine spongiform encephalopathy (BSE, commonly referred to as 'mad cow disease'). Some forms of Lyme disease testing employ Western blotting.","http://purl.obolibrary.org/obo/OBI_0000854"
"43","Whole Genome Sequencing","Laboratory process that determines the complete DNA sequence of an organism's genome at a single time. Sequencing process which uses deoxyribonucleic acid as input and results in a the creation of DNA sequence information artifact","http://purl.obolibrary.org/obo/OBI_0002117"
"44","Yeast Two Hybrid","Two-hybrid screening is a molecular biology technique used to discover protein-protein interactions by testing for physical interactions (such as binding) between two proteins.","http://purl.obolibrary.org/obo/OBI_0001679"
"45","in situ Hybridization","Uses a labelled complementary DNA or RNA strand (i.e., probe) to localize a specific DNA or RNA sequence in a portion or section of tissue (in situ), or the entire tissue (whole mount ISH), in cells and in circulating tumor cells (CTCs).","http://en.wikipedia.org/wiki/In_situ_hybridization"
"46","Transcription profiling assay","An assay which aims to provide information about gene expression and transcription activity using ribonucleic acids collected from a material entity using a range of techniques and instrument such as DNA sequencers, DNA microarrays, Northern Blot","http://purl.obolibrary.org/obo/OBI_0000424"
"47","DNA methylation profiling assay","An assay which aims to provide information about state of methylation of DNA molecules using genomic DNA collected from a material entity using a range of techniques and instrument such as DNA sequencers and often relying on treatment with bisulfites to ensure cytosine conversion.","http://purl.obolibrary.org/obo/OBI_0000634"
"48","DNA microarray","Microarray that is used as a physical 2D immobilisation matrix.","http://purl.obolibrary.org/obo/OBI_0400148"
"49","Protein microarray","Microarray, usually a piece of glass, on which different molecules of protein have been affixed at separate locations in an ordered manner. These are used to identify protein-protein or protein-small molecule interactions.","http://purl.obolibrary.org/obo/OBI_0400149"
"50","SNP microarray","DNA microarray used to detect polymorphisms in DNA samples.","http://purl.obolibrary.org/obo/OBI_0001204"
"51","Transcription profiling by array","An assay in which the transcriptome of a biological sample is analyzed using array technology.","http://purl.obolibrary.org/obo/OBI_0001463"
"52","Real time polymerase chain reaction assay","A laboratory technique based on the PCR, which is used to amplify and simultaneously quantify a specific DNA molecule based on the use of complementary probes/primers. It enables both detection and quantification (as absolute number of copies or relative amount when normalized to DNA input or additional normalizing genes) of one or more specific sequences in a DNA sample.","http://purl.obolibrary.org/obo/OBI_0000893"
"53","microRNA profiling assay","A transcription profiling assay in which aims to quantify the microRNA species within a biological sample.","http://purl.obolibrary.org/obo/OBI_0001926"
"54","T cell receptor repertoire sequencing assay","T cell receptor repertoire sequencing assay","http://purl.obolibrary.org/obo/OBI_0002990"
"55","B cell receptor repertoire sequencing assay","B cell receptor repertoire sequencing assay","http://purl.obolibrary.org/obo/OBI_0002991"
"56","SOMAscan","An aptamer-based assay able to detect protein analytes","http://purl.obolibrary.org/obo/OBI_0000070"
"57","O link","A high-multiplex, high-throughput protein biomarker platform that uses Proximity Extension Assay (PEA) technology coupled to qPCR or sequencing read outs","http://purl.obolibrary.org/obo/OBI_0000070"
"58","Cell Mediated Immunoassay","Cell Mediated Immunoassay","Cell Mediated Immunoassay"
"59","Chemiluminescent Assay","A type of immunoassay in which the antigen-antibody complex is quantified using light emission, which is generated from a chemical reaction.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C111235"
"60","Lateral Flow Assay","A procedure using a paper-based platform for the detection and quantification of analytes in complex mixtures, where the sample is placed on a test device for clinical use.","http://purl.obolibrary.org/obo/MAXO_0000612"
"61","Immunohistochemistry","Immunohistochemical staining techniques allow for the visualization of antigens via the sequential application of a specific antibody to the antigen (primary antibody), a secondary antibody to the primary antibody and an enzyme complex with a chromogenic substrate.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=ncit&ns=ncit&code=C23020"
"62","Methylation Sequencing","An assay in which the methylation state of DNA is determined and is compared between samples using sequencing based technology.","http://www.ebi.ac.uk/efo/EFO_0002761"
"63","Multiplex Immunoassay","An assay that allows for the simultaneous measurement of multiple analytes in a single sample.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C179019"
"64","Plaque Reduction Neutralization Assay","A serological test that measures the ability of antibodies in specific concentrations of serum to prevent the formation of plaques in a cell monolayer when combined with a viral suspension.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C172555"
"65","Pseudovirus Neutralization Assay","An immunoassay that is used to determine whether antibodies that can block pseudovirus replication are present in a biological specimen.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C172552"
"66","Not Specified","Not Specified","Not Specified"
"67","Multiplex Bead Array Assay","A type of solid-phase immunoassay that uses distinctly colored microbeads coated with one or more reagents, which may be antigens, antibodies, oligonucleotides, enzyme substrates, or receptors, for the simultaneous detection and measurement of one or many analytes within a single sample.","https://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=22.04d&ns=ncit&code=C135455"
"68","IgH Sequencing","IgH Sequencing","IgH Sequencing"
"69","SARS-CoV-2 Virus Sequencing","SARS-CoV-2 Virus Sequencing","SARS-CoV-2 Virus Sequencing"
"70","scRNA-seq","single-cell RNA sequencing assay. An RNA sequencing assay that uses RNA extracts as input that can be traced to a single cell of origin.","http://purl.obolibrary.org/obo/OBI_0002631"
"71","GC_MS","Gas Chromatography-Mass Spectrometry. A microanalytical technique combining mass spectrometry and gas chromatography for the qualitative as well as quantitative determinations of compounds.(MSH)","UMLS Metathesaurus Browser"
"72","MS_MS","Tandem Mass Spectrometry. An analytical technique where mass spectrometry is coupled to mass spectrometry in order to separate, identify, and quantify substances in a sample. (NCI)","UMLS Metathesaurus Browser"
"73","Iontrap_MS","Sequential Mass Spectrometry. A mass spectrometry technique that uses an ion trap and Fourier-transform ion-cyclotron resonance (FT-ICR) type instrument to re-fragment the product ions from a mass spec pass. The process can be repeated n times where 'n' represents the number of times the isolation-fragmentation-measurement cycle has been carried out. (NCI)","UMLS Metathesaurus Browser"
"74","16S rRNA gene sequencing","An assay that determines taxonomic and community diversity information by sequencing specific genomic regions used as marker of identity or diversity.","http://purl.obolibrary.org/obo/OBI_0001960"
"75","phage display binding assay","A binding assay in which a collection of phages expressing a library of different peptides or protein fragnments is used to infect cells, followed by screening for cells that bind a protein of interest, and identifiying the sequence of infecting phages to determine a suitable binding partner.","http://purl.obolibrary.org/obo/OBI_0001476"
"76","LC_MS","Liquid Chromatography Mass Spectrometry. An analytical technique wherein liquid chromatography is coupled to mass spectrometry in order to separate, identify, and quantify substances in a sample. (NCI)","UMLS Metathesaurus Browser"
