"","HMDB_ID","NAME","DESCRIPTION","LINK"
"11","HMDB00026","Ureidopropionic acid","Ureidopropionic acid, also known as 3-ureidopropanoate or N-carbamoyl-b-alanine, belongs to the class of organic compounds known as ureas. Ureas are compounds containing two amine groups joined by a carbonyl (C=O) functional group. Ureidopropionic acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). Ureidopropionic acid has been primarily detected in feces, urine, blood, and cerebrospinal fluid. Within the cell, ureidopropionic acid is primarily located in the cytoplasm. Ureidopropionic acid participates in a number of enzymatic reactions. In particular, Ureidopropionic acid can be biosynthesized from dihydrouracil; which is mediated by the enzyme dihydropyrimidinase. Furthermore, Ureidopropionic acid can be converted into Beta-alanine through the action of the enzyme Beta-ureidopropionase. Furthermore, Ureidopropionic acid can be converted into Beta-alanine through the action of the enzyme Beta-ureidopropionase. Finally, Ureidopropionic acid can be biosynthesized from dihydrouracil; which is catalyzed by the enzyme dihydropyrimidinase. In humans, ureidopropionic acid is involved in the Beta-alanine metabolism pathway and the pyrimidine metabolism pathway. Ureidopropionic acid is also involved in several metabolic disorders, some of which include UMP synthase deficiency (orotic aciduria), gaba-transaminase deficiency, the carnosinuria, carnosinemia pathway, and the mngie (mitochondrial neurogastrointestinal encephalopathy) pathway. Outside of the human body, ureidopropionic acid can be found in a number of food items such as red bell pepper, garlic, yautia, and sparkleberry. This makes ureidopropionic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000026"
"12","HMDB0000026","Ureidopropionic acid","Ureidopropionic acid, also known as 3-ureidopropanoate or N-carbamoyl-b-alanine, belongs to the class of organic compounds known as ureas. Ureas are compounds containing two amine groups joined by a carbonyl (C=O) functional group. Ureidopropionic acid exists as a solid, soluble (in water), and a weakly acidic compound (based on its pKa). Ureidopropionic acid has been primarily detected in feces, urine, blood, and cerebrospinal fluid. Within the cell, ureidopropionic acid is primarily located in the cytoplasm. Ureidopropionic acid participates in a number of enzymatic reactions. In particular, Ureidopropionic acid can be biosynthesized from dihydrouracil; which is mediated by the enzyme dihydropyrimidinase. Furthermore, Ureidopropionic acid can be converted into Beta-alanine through the action of the enzyme Beta-ureidopropionase. Furthermore, Ureidopropionic acid can be converted into Beta-alanine through the action of the enzyme Beta-ureidopropionase. Finally, Ureidopropionic acid can be biosynthesized from dihydrouracil; which is catalyzed by the enzyme dihydropyrimidinase. In humans, ureidopropionic acid is involved in the Beta-alanine metabolism pathway and the pyrimidine metabolism pathway. Ureidopropionic acid is also involved in several metabolic disorders, some of which include UMP synthase deficiency (orotic aciduria), gaba-transaminase deficiency, the carnosinuria, carnosinemia pathway, and the mngie (mitochondrial neurogastrointestinal encephalopathy) pathway. Outside of the human body, ureidopropionic acid can be found in a number of food items such as red bell pepper, garlic, yautia, and sparkleberry. This makes ureidopropionic acid a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000026"
"13","HMDB00036","Taurocholic acid","Taurocholic acid, also known as N-choloyltaurine or taurocholate, belongs to the class of organic compounds known as trihydroxy bile acids, alcohols and derivatives. These are prenol lipids structurally characterized by a bile acid or alcohol which bears three hydroxyl groups. Taurocholic acid is considered to be a practically insoluble (in water) and relatively neutral molecule. Taurocholic acid has been found in human hepatic , intestine and liver tissues, and has also been primarily detected in bile, feces, urine, and blood. Within the cell, taurocholic acid is primarily located in the myelin sheath, membrane (predicted from logP) and cytoplasm. Taurocholic acid exists in all eukaryotes, ranging from yeast to humans. Taurocholic acid can be biosynthesized from choloyl-CoA and taurine; which is catalyzed by the enzyme bile acid-coa:amino acid N-acyltransferase. In humans, taurocholic acid is involved in bile acid biosynthesis pathway, the cerebrotendinous xanthomatosis (CTX) pathway, congenital bile acid synthesis defect type III pathway, and congenital bile acid synthesis defect type II pathway. Taurocholic acid is also involved in a few metabolic disorders, which include 27-hydroxylase deficiency, the zellweger syndrome pathway, and the familial hypercholanemia (fhca) pathway.","http://www.hmdb.ca/metabolites/HMDB0000036"
"14","HMDB0000036","Taurocholic acid","Taurocholic acid, also known as N-choloyltaurine or taurocholate, belongs to the class of organic compounds known as trihydroxy bile acids, alcohols and derivatives. These are prenol lipids structurally characterized by a bile acid or alcohol which bears three hydroxyl groups. Taurocholic acid is considered to be a practically insoluble (in water) and relatively neutral molecule. Taurocholic acid has been found in human hepatic , intestine and liver tissues, and has also been primarily detected in bile, feces, urine, and blood. Within the cell, taurocholic acid is primarily located in the myelin sheath, membrane (predicted from logP) and cytoplasm. Taurocholic acid exists in all eukaryotes, ranging from yeast to humans. Taurocholic acid can be biosynthesized from choloyl-CoA and taurine; which is catalyzed by the enzyme bile acid-coa:amino acid N-acyltransferase. In humans, taurocholic acid is involved in bile acid biosynthesis pathway, the cerebrotendinous xanthomatosis (CTX) pathway, congenital bile acid synthesis defect type III pathway, and congenital bile acid synthesis defect type II pathway. Taurocholic acid is also involved in a few metabolic disorders, which include 27-hydroxylase deficiency, the zellweger syndrome pathway, and the familial hypercholanemia (fhca) pathway.","http://www.hmdb.ca/metabolites/HMDB0000036"
"15","HMDB00043","Betaine","Betaine, also known as glycine betaine or acidin pepsin, belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon). Betaine exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). Betaine has been found throughout most human tissues, and has also been detected in most biofluids, including blood, breast milk, saliva, and urine. Within the cell, betaine is primarily located in the cytoplasm and mitochondria. Betaine exists in all eukaryotes, ranging from yeast to humans. Betaine participates in a number of enzymatic reactions. In particular, Betaine and homocysteine can be converted into dimethylglycine and L-methionine; which is mediated by the enzyme betaine--homocysteine S-methyltransferase 1. Furthermore, Betaine can be biosynthesized from betaine aldehyde through the action of the enzyme Alpha-aminoadipic semialdehyde dehydrogenase. Furthermore, Betaine and homocysteine can be converted into dimethylglycine and L-methionine; which is mediated by the enzyme betaine--homocysteine S-methyltransferase 1. Finally, Betaine can be biosynthesized from choline; which is catalyzed by the enzyme choline dehydrogenase, mitochondrial. In humans, betaine is involved in the sarcosine oncometabolite pathway, the methionine metabolism pathway, the glycine and serine metabolism pathway, and the betaine metabolism pathway. Betaine is also involved in several metabolic disorders, some of which include the homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, CBLG complementation type pathway, the sarcosinemia pathway, glycine N-methyltransferase deficiency, and cystathionine Beta-synthase deficiency. Betaine is a bland tasting compound that can be found in a number of food items such as shiitake, garden tomato (var.), wax gourd, and olive. This makes betaine a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000043"
"16","HMDB0000043","Betaine","Betaine, also known as glycine betaine or acidin pepsin, belongs to the class of organic compounds known as alpha amino acids. These are amino acids in which the amino group is attached to the carbon atom immediately adjacent to the carboxylate group (alpha carbon). Betaine exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). Betaine has been found throughout most human tissues, and has also been detected in most biofluids, including blood, breast milk, saliva, and urine. Within the cell, betaine is primarily located in the cytoplasm and mitochondria. Betaine exists in all eukaryotes, ranging from yeast to humans. Betaine participates in a number of enzymatic reactions. In particular, Betaine and homocysteine can be converted into dimethylglycine and L-methionine; which is mediated by the enzyme betaine--homocysteine S-methyltransferase 1. Furthermore, Betaine can be biosynthesized from betaine aldehyde through the action of the enzyme Alpha-aminoadipic semialdehyde dehydrogenase. Furthermore, Betaine and homocysteine can be converted into dimethylglycine and L-methionine; which is mediated by the enzyme betaine--homocysteine S-methyltransferase 1. Finally, Betaine can be biosynthesized from choline; which is catalyzed by the enzyme choline dehydrogenase, mitochondrial. In humans, betaine is involved in the sarcosine oncometabolite pathway, the methionine metabolism pathway, the glycine and serine metabolism pathway, and the betaine metabolism pathway. Betaine is also involved in several metabolic disorders, some of which include the homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, CBLG complementation type pathway, the sarcosinemia pathway, glycine N-methyltransferase deficiency, and cystathionine Beta-synthase deficiency. Betaine is a bland tasting compound that can be found in a number of food items such as shiitake, garden tomato (var.), wax gourd, and olive. This makes betaine a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000043"
"17","HMDB00045","Adenosine monophosphate","Adenosine monophosphate, also known as adenylic acid or AMP, belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached. Adenosine monophosphate is a drug which is used for nutritional supplementation, also for treating dietary shortage or imbalance. Adenosine monophosphate exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). Adenosine monophosphate has been found throughout all human tissues, and has also been detected in most biofluids, including feces, blood, saliva, and cerebrospinal fluid. Adenosine monophosphate can be found anywhere throughout the human cell, such as in golgi, endoplasmic reticulum, lysosome, and peroxisome. Adenosine monophosphate exists in all eukaryotes, ranging from yeast to humans. Adenosine monophosphate can be biosynthesized from L-serine through its interaction with the enzyme serine--trna ligase, cytoplasmic. In humans, adenosine monophosphate is involved in the delavirdine action pathway, the spectinomycin action pathway, the mercaptopurine action pathway, and the propanoate metabolism pathway. Adenosine monophosphate is also involved in several metabolic disorders, some of which include transaldolase deficiency, 3-phosphoglycerate dehydrogenase deficiency, the hyperprolinemia type II pathway, and creatine deficiency, guanidinoacetate methyltransferase deficiency. Outside of the human body, adenosine monophosphate can be found in a number of food items such as elliott's blueberry, conch, nanking cherry, and jackfruit. This makes adenosine monophosphate a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000045"
"18","HMDB0000045","Adenosine monophosphate","Adenosine monophosphate, also known as adenylic acid or AMP, belongs to the class of organic compounds known as purine ribonucleoside monophosphates. These are nucleotides consisting of a purine base linked to a ribose to which one monophosphate group is attached. Adenosine monophosphate is a drug which is used for nutritional supplementation, also for treating dietary shortage or imbalance. Adenosine monophosphate exists as a solid, slightly soluble (in water), and a moderately acidic compound (based on its pKa). Adenosine monophosphate has been found throughout all human tissues, and has also been detected in most biofluids, including feces, blood, saliva, and cerebrospinal fluid. Adenosine monophosphate can be found anywhere throughout the human cell, such as in golgi, endoplasmic reticulum, lysosome, and peroxisome. Adenosine monophosphate exists in all eukaryotes, ranging from yeast to humans. Adenosine monophosphate can be biosynthesized from L-serine through its interaction with the enzyme serine--trna ligase, cytoplasmic. In humans, adenosine monophosphate is involved in the delavirdine action pathway, the spectinomycin action pathway, the mercaptopurine action pathway, and the propanoate metabolism pathway. Adenosine monophosphate is also involved in several metabolic disorders, some of which include transaldolase deficiency, 3-phosphoglycerate dehydrogenase deficiency, the hyperprolinemia type II pathway, and creatine deficiency, guanidinoacetate methyltransferase deficiency. Outside of the human body, adenosine monophosphate can be found in a number of food items such as elliott's blueberry, conch, nanking cherry, and jackfruit. This makes adenosine monophosphate a potential biomarker for the consumption of these food products.","http://www.hmdb.ca/metabolites/HMDB0000045"
"19","HMDB00050","Adenosine","Adenosine, also known as adenocard or ade-rib, belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety. Adenosine is a drug which is used as an initial treatment for the termination of paroxysmal supraventricular tachycardia (pvst), including that associated with accessory bypass tracts, and is a drug of choice for terminating stable, narrow-complex supraventricular tachycardias (svt). also used as an adjunct to thallous chloride ti 201 myocardial perfusion scintigraphy (thallium stress test) in patients who are unable to exercise adequately, as well as an adjunct to vagal maneuvers and clinical assessment to establish a specific diagnosis of undefined, stable, narrow-complex svt. Adenosine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Adenosine has been found throughout all human tissues, and has also been detected in most biofluids, including urine, feces, cerebrospinal fluid, and saliva. Within the cell, adenosine is primarily located in the mitochondria and lysosome. Adenosine exists in all eukaryotes, ranging from yeast to humans. Adenosine participates in a number of enzymatic reactions. In particular, Adenosine can be converted into inosine through its interaction with the enzyme adenosine deaminase. In addition, Adenosine can be converted into adenine and ribose 1-phosphate through its interaction with the enzyme purine nucleoside phosphorylase. In humans, adenosine is involved in the thioguanine action pathway, the azathioprine action pathway, the methionine metabolism pathway, and the mercaptopurine action pathway. Adenosine is also involved in several metabolic disorders, some of which include S-adenosylhomocysteine (sah) hydrolase deficiency, the hypermethioninemia pathway, adenine phosphoribosyltransferase deficiency (aprt), and adenosine deaminase deficiency. Adenosine is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000050"
"20","HMDB0000050","Adenosine","Adenosine, also known as adenocard or ade-rib, belongs to the class of organic compounds known as purine nucleosides. Purine nucleosides are compounds comprising a purine base attached to a ribosyl or deoxyribosyl moiety. Adenosine is a drug which is used as an initial treatment for the termination of paroxysmal supraventricular tachycardia (pvst), including that associated with accessory bypass tracts, and is a drug of choice for terminating stable, narrow-complex supraventricular tachycardias (svt). also used as an adjunct to thallous chloride ti 201 myocardial perfusion scintigraphy (thallium stress test) in patients who are unable to exercise adequately, as well as an adjunct to vagal maneuvers and clinical assessment to establish a specific diagnosis of undefined, stable, narrow-complex svt. Adenosine exists as a solid, soluble (in water), and a very weakly acidic compound (based on its pKa). Adenosine has been found throughout all human tissues, and has also been detected in most biofluids, including urine, feces, cerebrospinal fluid, and saliva. Within the cell, adenosine is primarily located in the mitochondria and lysosome. Adenosine exists in all eukaryotes, ranging from yeast to humans. Adenosine participates in a number of enzymatic reactions. In particular, Adenosine can be converted into inosine through its interaction with the enzyme adenosine deaminase. In addition, Adenosine can be converted into adenine and ribose 1-phosphate through its interaction with the enzyme purine nucleoside phosphorylase. In humans, adenosine is involved in the thioguanine action pathway, the azathioprine action pathway, the methionine metabolism pathway, and the mercaptopurine action pathway. Adenosine is also involved in several metabolic disorders, some of which include S-adenosylhomocysteine (sah) hydrolase deficiency, the hypermethioninemia pathway, adenine phosphoribosyltransferase deficiency (aprt), and adenosine deaminase deficiency. Adenosine is a potentially toxic compound.","http://www.hmdb.ca/metabolites/HMDB0000050"
"21","HMDB00054","Bilirubin","4E,15Z-Bilirubin ixa belongs to the class of organic compounds known as bilirubins. These are organic compounds containing a dicarboxylic acyclic tetrapyrrole derivative. 4E,15Z-Bilirubin ixa is considered to be a practically insoluble (in water) and relatively neutral molecule. 4E,15Z-Bilirubin ixa has been primarily detected in blood. Within the cell, 4E,15Z-bilirubin ixa is primarily located in the cytoplasm.","http://www.hmdb.ca/metabolites/HMDB0000054"
"22","HMDB0000054","Bilirubin","4E,15Z-Bilirubin ixa belongs to the class of organic compounds known as bilirubins. These are organic compounds containing a dicarboxylic acyclic tetrapyrrole derivative. 4E,15Z-Bilirubin ixa is considered to be a practically insoluble (in water) and relatively neutral molecule. 4E,15Z-Bilirubin ixa has been primarily detected in blood. Within the cell, 4E,15Z-bilirubin ixa is primarily located in the cytoplasm.","http://www.hmdb.ca/metabolites/HMDB0000054"
"23","HMDB00062","L-Carnitine","(R)-Carnitine, also known as carnitine or carnitor, belongs to the class of organic compounds known as carnitines. These are organic compounds containing the quaternary ammonium compound carnitine (R)-Carnitine is a drug which is used for treatment of primary systemic carnitine deficiency, a genetic impairment of normal biosynthesis or utilization of levocarnitine from dietary sources, or for the treatment of secondary carnitine deficiency resulting from an inborn error of metabolism such as glutaric aciduria ii, methyl malonic aciduria, propionic acidemia, and medium chain fatty acylcoa dehydrogenase deficiency. used therapeutically to stimulate gastric and pancreatic secretions and in the treatment of hyperlipoproteinemias. parenteral levocarnitine is indicated for the prevention and treatment of carnitine deficiency in patients with end-stage renal disease (R)-Carnitine exists as a solid, slightly soluble (in water), and a weakly acidic compound (based on its pKa) (R)-Carnitine has been found throughout most human tissues, and has also been detected in most biofluids, including feces, urine, breast milk, and cerebrospinal fluid. Within the cell, (R)-carnitine is primarily located in the cytoplasm, mitochondria, endoplasmic reticulum and peroxisome (R)-Carnitine exists in all eukaryotes, ranging from yeast to humans. In humans, (R)-carnitine is involved in carnitine synthesis pathway, the Beta oxidation OF very long chain fatty acids pathway, the adrenoleukodystrophy, X-linked pathway, and the fatty acid metabolism pathway (R)-Carnitine is also involved in several metabolic disorders, some of which include the mitochondrial Beta-oxidation OF short chain saturated fatty acids pathway, medium chain acyl-CoA dehydrogenase deficiency (mcad), short chain acyl CoA dehydrogenase deficiency (scad deficiency), and very-long-chain acyl CoA dehydrogenase deficiency (vlcad) (R)-Carnitine is a potentially toxic compound (R)-Carnitine has been found to be associated with several diseases known as myopathic carnitine deficiency, carnitine transporter defect; primary systemic carnitine deficiency, and long-chain fatty acids, defect in transport of; (r)-carnitine has also been linked to several inborn metabolic disorders including propionic acidemia and 3-hydroxy-3-methylglutaryl-CoA lyase deficiency.","http://www.hmdb.ca/metabolites/HMDB0000062"
