"","NAME","LINK"
"117","Emory Vaccine Center, Emory University, Atlanta GA 30329",NA
"118","Nationwide Children's Hospital",NA
"119","The Broad Institute",NA
"120","FHCRC",NA
"121","WWAMI Regional Center for Excellence in Biodefense (RCE)",NA
"122","Feinstein Institute for Medical Research NS-LIJ Health System",NA
"123","Dana Farber Cancer Institute",NA
"124","BRI",NA
"125","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI",NA
"126","University hospital Zurich",NA
"127","Research Triangle Institute, NC",NA
"128","deCODE",NA
"129","New York Influenza Center of Excellence",NA
"130","University of Rochester Medical Center",NA
"131","Northwestern University",NA
"132","?",NA
"133","Johns Hopkins Medical Institute",NA
"134","University of Rochester",NA
"135","Arkansas Children's Hospital",NA
"136","University of California, Berkeley",NA
"137","Emory University",NA
"138","Cincinnati Children's Hospital Medical Center",NA
"139","Baylor Institute for Immunology Research",NA
"140","Center for Expression Arrays",NA
"141","UCLA Center for Vaccine Research",NA
"142","NC STATE UNIVERSITY",NA
"143","Yale University",NA
"144","Oklahoma Medical Research Foundation",NA
"145","Telethon Institute for Child Health Research",NA
"146","Seattle BioMed",NA
"147","Benaroya Research Institute",NA
"148","Yale Cancer Center, Yale University School of Medicine",NA
"149","Yale university",NA
"150","Creighton University School of Medicine",NA
"151","Pathology & Molecular Medicine and Clinical Epidemiology and Biostatistics",NA
"152","School of Medicine",NA
"153","Children's Hospital Boston",NA
"154","University of Minnesota Medical School",NA
"155","college",NA
"156","University Name",NA
"157","NIH",NA
"158","University of Pittsburgh",NA
"159","Yale",NA
"160","U Pittsburgh",NA
"161","University of Cincinnati",NA
"162","School of Medicine, Emory University ",NA
"163","PPD",NA
"164","Duke University Medical Center",NA
"165","Department of Infectious Diseases, University of Georgia",NA
"166","La Jolla Institute for Allergy and Immunology",NA
"167","La Jolla Institute",NA
"168","VBI",NA
