"","NAME","EXPOSURE_MATERIAL_ID","DESCRIPTION","LINK"
"71","Diphtheria-Tetanus-Pertussis vaccine","VO:0000738","Diphtheria-Tetanus-Pertussis vaccine","http://purl.obolibrary.org/obo/VO_0000738"
"72","Alternaria alternata","NCBITaxon:5599","species, ascomycetes","http://purl.obolibrary.org/obo/NCBITaxon_5599"
"73","2011-2012 trivalent inactivated vaccine (A/California/7/09 (H1N1), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)","VO:0004810","2011-2012 trivalent inactivated vaccine (A/California/7/09 (H1N1), A/Perth /16/2009 (H3N2), and B/Brisbane/60/2008)","http://purl.obolibrary.org/obo/VO_0004810"
"74","Staphylococcus aureus","NCBITaxon:1280","Staphylococcus aureus is a Gram-positive, round-shaped bacterium that is a member of the Firmicutes, and it is a usual member of the microbiota of the body, frequently found in the upper respiratory tract and on the skin.","http://purl.obolibrary.org/obo/NCBITaxon_1280"
"75","Respiratory syncytial virus","NCBITaxon:12814","Respiratory syncytial (sin-SISH-uhl) virus, or RSV, is a common respiratory virus that usually causes mild, cold-like symptoms. Most people recover in a week or two, but RSV can be serious, especially for infants and older adults.","http://purl.obolibrary.org/obo/NCBITaxon_12814"
"76","Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B]","VO_0003270","Hepatitis B Surface Antigen Vaccine Injection [Heplisav-B]","http://purl.obolibrary.org/obo/VO_0003270"
"77","Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B]","VO_0003258","Hepatitis B Surface Antigen Vaccine Prefilled Syringe [Engerix-B]","http://purl.obolibrary.org/obo/VO_0003258"
"78","Hepatitis B surface antigen vaccine","VO_0003150","A Hepatitis B virus vaccine that uses recombinant Hepatitis B surface antigen as the antigen","http://purl.obolibrary.org/obo/VO_0003150"
"79","Hepatitis B virus vaccine","VO_0000644","A viral vaccine that protects against infection with Hepatitis B virus.","http://purl.obolibrary.org/obo/VO_0000644"
"80","Influvac","VO_0000867","Influvac is an Influenza virus vaccine that is manufactured by Solvay Pharma.","http://purl.obolibrary.org/obo/VO_0000867"
"81","human immunodeficiency virus infectious disease","DOID:526","A viral infectious disease that results in destruction of immune system, leading to life-threatening opportunistic infections and cancers, has_material_basis_in Human immunodeficiency virus 1 or has_material_basis_in Human immunodeficiency virus 2, which are transmitted by sexual contact, transmitted by transfer of blood, semen, vaginal fluid, pre-ejaculate, or breast milk, transmitted by congenital method, and transmitted by contaminated needles. The virus infects helper T cells (CD4+ T cells) which are directly or indirectly destroyed, macrophages, and dendritic cells. The infection has symptom diarrhea, has symptom fatigue, has symptom fever, has symptom vaginal yeast infection, has symptom headache, has symptom mouth sores, has symptom muscle aches, has symptom sore throat, and has symptom swollen lymph glands.","http://purl.obolibrary.org/obo/DOID_526"
"82","human immunodeficiency virus vaccine","VO_0000295","A viral vaccine that protects against infection with human immunodeficiency virus that causes AIDS.","http://purl.obolibrary.org/obo/VO_0000295"
"83","inactivated influenza vaccine","VO_0001176","inactivated influenza vaccine is an inactivated viral vaccine that targets at influenza viral infections.","http://purl.obolibrary.org/obo/VO_0001176"
"84","live attenuated influenza vaccine","VO_0001178","live attenuated influenza vaccine is a live attenuated vaccine that protects against influenza viral infection.","http://purl.obolibrary.org/obo/VO_0001178"
