"","NAME","DESCRIPTION","LINK"
"13","COVID-19 Disease Severity 1","Patient is ambulatory without limitation of activities.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179011"
"14","COVID-19 Disease Severity 0","Patient is uninfected. There are no clinical or virological evidence of infection.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179010"
"15","SeroNet Covid-19 Disease Severity Mild","Corresponds to WHO severity scale: (1) Ambulatory, asymptomatic or no limitation of activities or (2) ambulatory, limitation of activities.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179011, https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179012"
"16","SeroNet Covid-19 Disease Severity Moderate","Corresponds to WHO severity scale: (3) Hospitalized, no oxygen therapy or (4) hospitalized, oxygen by mask or nasal prongs.","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179013, https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179014"
"17","SeroNet Covid-19 Disease Severity Severe","Corresponds to WHO severity scale: (5) Hospitalized with severe disease and non-invasive ventilation or high-flow oxygen,  or (6) hospitalized with severe disease with intubation and mechanical ventilation, or  (7) hospitalized with severe disease ventilation + additional organ support ? pressors, RRT, ECMO","https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179015, https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179016, https://ncithesaurus.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI_Thesaurus&version=21.10d&ns=ncit&code=C179017"
"18","SeroNet Covid-19 Disease Severity Death","Corresponds to WHO Severity Scale 8. Dead.","https://ncithesaurus.nci.nih.gov/ncitbrowser/"
"19","SeroNet Covid-19 Disease Severity Unknown","Covid-19 disease severity is not known.","https://ncithesaurus.nci.nih.gov/ncitbrowser/"
"20","Non-severe COVID-19","Defined as absence of any criteria for severe or critical COVID-19.","https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1"
"21","Critical COVID-19","Defined by the criteria for acute respiratory distress syndrome (ARDS), sepsis, septic shock, or other conditions that would normally require the provision of life-sustaining therapies such as mechanical ventilation (invasive or non-invasive) or vasopressor therapy.","https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1"
"22","Severe COVID-19","Defined by any of: Oxygen saturation < 90% on room air. Respiratory rate > 30 breaths/min in adults and children > 5 years old; >= 60 breaths/min in children < 2 months old; >= 50 in children 2?11 months old; and >= 40 in children 1?5 years old. Signs of severe respiratory distress (accessory muscle use, inability to complete full sentences, and, in children, very severe chest wall indrawing, grunting, central cyanosis, or presence of any other general danger signs).","https://www.who.int/publications/i/item/WHO-2019-nCoV-clinical-2021-1"
