"","NAME","DESCRIPTION","LINK","TYPE"
"34","Cq","Threshold cycle (or Ct or Cq) is a count which is defined as the fractional PCR cycle number at which the reporter fluorescence is greater than the threshold in the context of the RT-qPCR assay.","http://purl.obolibrary.org/obo/STATO_0000190","PCR"
"35","Ct","Threshold cycle (or Ct or Cq) is a count which is defined as the fractional PCR cycle number at which the reporter fluorescence is greater than the threshold in the context of the RT-qPCR assay.","http://purl.obolibrary.org/obo/STATO_0000190","PCR"
"36","Delta Ct","Difference between the target gene and the reference gene.","http://www.ncbi.nlm.nih.gov/pubmed/11846609","PCR"
"37","Delta Delta Ct","Difference between the Delta Ct target gene of the treated sample and the Delta Ct of the target gene of the untreated sample.","http://www.ncbi.nlm.nih.gov/pubmed/11846609","PCR"
"38","F","Fahrenheit","http://purl.obolibrary.org/obo/UO_0000195","temperature"
"39","FPKM","Fragments Per Kilobase Million: Normalized expression value of a given gene as measured by paired-end RNA sequencing","http://www.ncbi.nlm.nih.gov/pubmed/22872506","gene_expression"
"40","HAU","hemagglutination units","http://en.wikipedia.org/wiki/Virus_quantification","concentration"
"41","IU","The unitage assigned by the WHO to International Biological Standards - substances, classed as biological according to the criteria provided by WHO Expert Committee on Biological Standardization (e.g. hormones, enzymes, and vaccines), to enable the results of biological and immunological assay procedures to be expressed in the same way throughout the world. The definition of an international unit is generally arbitrary and technical, and has to be officially approved by the International Conference for Unification of Formulae.","http://purl.obolibrary.org/obo/NCIT_C48579","mass"
"42","K","Kelvin","http://purl.obolibrary.org/obo/UO_0000012","temperature"
"43","M","molar","http://purl.obolibrary.org/obo/UO_0000062","concentration"
"44","MFI at 90th percentile","Mean Fluorescence Intensity at 90th Percentile.  MFI : A unit of measure equal to the geometric mean fluorescence intensity of a log-normal distribution of fluorescence signals.","http://purl.obolibrary.org/obo/NCIT_C96687","derived_flow"
"45","MOI","multiplicity of infection","http://en.wikipedia.org/wiki/Multiplicity_of_infection","concentration"
"46","Not Specified","No value provided. Not stated explicitly or in detail.","http://purl.obolibrary.org/obo/NCIT_C38046","Not_Specified"
"47","RPKM","Reads Per Kilobase Million: Normalized expression value of a given gene as measured by single-end RNA sequencing","http://www.ncbi.nlm.nih.gov/pubmed/22872506","gene_expression"
"48","TCID50","mean tissue culture infective dose","http://en.wikipedia.org/wiki/Virus_quantification","concentration"
"49","TPM","Transcripts per million reads- Measurement of mRNA abundance using RNA-seq data","http://www.ncbi.nlm.nih.gov/pubmed/22872506","gene_expression"
"50","cells","cell count","http://purl.obolibrary.org/obo/NCIT_C48938","derived_flow"
"51","cells/ul","A unit of cell concentration expressed as a number of cells per unit volume equal to one microliter.","http://purl.obolibrary.org/obo/NCIT_C67242","derived_flow"
"52","gm","gram","http://purl.obolibrary.org/obo/UO_0000021","mass"
"53","mM","millimolar","http://purl.obolibrary.org/obo/UO_0000063","concentration"
"54","mg","milligram","http://purl.obolibrary.org/obo/UO_0000022","mass"
"55","mg/ml","microgram per milliliter","http://purl.bioontology.org/ontology/SNOMEDCT/258798001","concentration"
"56","ml","milliliter","http://purl.obolibrary.org/obo/UO_0000098","volume"
"57","nM","nanomolar","http://purl.obolibrary.org/obo/UO_0000065","concentration"
"58","ng","nanogram","http://purl.obolibrary.org/obo/UO_0000024","mass"
"59","ng/ml","nanogram per milliliter","http://purl.bioontology.org/ontology/SNOMEDCT/258806002","concentration"
"60","ng/nl","nanogram per nanoliter","","concentration"
"61","ng/ul","nanogram per microliter","http://purl.bioontology.org/ontology/SNOMEDCT/272082007","concentration"
"62","nl","nanoliter","http://purl.obolibrary.org/obo/UO_0000102","volume"
"63","pM","picomolar","http://purl.obolibrary.org/obo/UO_0000066","concentration"
"64","percentage","A fraction or ratio with 100 understood as the denominator. e.g. percentage of a cell population of interest within a parent population","http://purl.obolibrary.org/obo/NCIT_C25613","derived_flow"
"65","pg","picogram","http://purl.obolibrary.org/obo/UO_0000025","mass"
"66","pg/ml","picogram per milliliter","http://purl.obolibrary.org/obo/NCIT_C67327","concentration"
"67","pg/nl","picogram per nanoliter","","concentration"
"68","pg/ul","picogram per microliter","http://purl.obolibrary.org/obo/NCIT_C67306","concentration"
"69","pl","picoliter","http://purl.obolibrary.org/obo/UO_0000103","volume"
"70","stim/unstim fold change","Fold change comparing stimulated vs unstimulated sample","https://en.wikipedia.org/wiki/Fold_change","derived_flow"
"71","uM","micromolar","http://purl.bioontology.org/ontology/SNOMEDCT/258814008","concentration"
"72","ug","microgram","http://purl.obolibrary.org/obo/UO_0000023","mass"
"73","ug/ml","microgram per milliliter","http://purl.bioontology.org/ontology/SNOMEDCT/258801007","concentration"
"74","ug/ul","microgram per microliter","http://purl.obolibrary.org/obo/NCIT_C42576","concentration"
"75","ul","microliter","http://purl.obolibrary.org/obo/UO_0000101","volume"
"76","units/ml","Enzyme Unit per Milliliter. Unit of catalytic activity concentration defined as activity equal to one enzyme unit per one milliliter of system volume.","http://purl.bioontology.org/ontology/SNOMEDCT/259002007","concentration"
"77","DK units/ml","The NIDDK calibrators were tested together with dilutions of the WHO reference serum using harmonized assays on five occasions in the BDC, Bristol, and Munich laboratories and reported as WHO units/ml by calibration as previously described. For each of the NIDDK calibrators, the median value of the WHO units/ml obtained for the 15 measurements was assigned as its calibrator unit. The assigned units were termed digestive and kidney units (DK units)/ml.","https://repository.niddk.nih.gov/studies/aab-calibrators/","concentration"
"78","NPX","NPX, Normalized Protein eXpression, is Olink's arbitrary unit which is in Log2 scale.  It is calculated from Ct values and data pre-processing (normalization) is performed to minimize both intra- and inter-assay variation. NPX data allows users to identify changes for individual protein levels across their sample set, and then use this data to establish protein signatures. The NPX scale is inverted compared to that of Ct. This means that a high NPX value equals a high protein concentration. Because NPX is in a log2 scale, a 1 NPX difference means a doubling of protein concentration. If needed NPX values can be converted into linear scale: 2^NPX= linear NPX.","https://www.olink.com/question/what-is-npx/","concentration"
"79","kg/m2","Kilogram per Square Meter, the SI derived unit of spread rate of a substance by mass, used also as a measure of area density and as a dose calculation unit.","http://purl.obolibrary.org/obo/NCIT_C49671","area density"
"80","ug/kg","Microgram per Kilogram: A unit of a mass fraction expressed as a number of micrograms of substance per kilogram of mixture. The unit is also used as a dose calculation unit.","http://purl.obolibrary.org/obo/NCIT_C67396","Quantitative Concept"
"81","ugEq/g","Microgram Equivalents Per Gram: A concentration unit measured as a number of microgram equivalents per gram of substance.","http://purl.obolibrary.org/obo/NCIT_C166087","Intellectual Product"
"82","optical density","The measurement of the light transmitted through a sample for a given wavelength. [database_cross_reference: ISBN:038733341X]","http://purl.obolibrary.org/obo/CHMO_0002039","concentration"
"83","mm","A metric unit of length equal to one thousandth of a meter (10E-3 meter) or approximately 0.03937 inch. [Definition Source: NCI]","http://purl.obolibrary.org/obo/NCIT_C28251","length"
"84","m","A unit of linear measure in the metric system, one of the seven base units of the International System of Units (Systeme International d'Unites, SI). A meter is defined as the length of the path traveled by light in a vacuum during a time interval of 1/299 792 458 of a second and is equal to 1.093 61 yards. [Definition Source: NCI]","http://purl.obolibrary.org/obo/NCIT_C41139","length"
"85","AU/ml","Unit of measure of potency of allergenic product expressed as a number of allergy units per one milliliter of formulation.","http://purl.obolibrary.org/obo/NCIT_C70504","concentration"
"86","Beats per Minute","The number of heartbeats measured per minute time.","http://purl.obolibrary.org/obo/NCIT_C49673","Quantitative Concept"
"87","Body Mass Index Finding","The result of a body mass index measurement. [Definition Source: NCI]","http://purl.obolibrary.org/obo/NCIT_C138901","Finding"
"88","Breaths per Minute","The number of breaths (inhalation and exhalation) taken per minute time.","http://purl.obolibrary.org/obo/NCIT_C49674","Quantitative Concept"
"89","Kallikrein Inactivator Unit per Milliliter","An arbitrary unit of a kallikrein inactivator concentration equal to the concentration at which one milliliter of the mixture contains one unit of the kallikrein inactivator.","http://purl.obolibrary.org/obo/NCIT_C73531","concentration"
"90","Multidimensional Fatigue Inventory","A 20-item self-report instrument designed to measure fatigue. It covers the following dimensions: General Fatigue, Physical Fatigue, Mental Fatigue, Reduced Motivation and Reduced Activity.","http://purl.obolibrary.org/obo/NCIT_C54719","Intellectual Product"
"91","Pound","The traditional unit of mass. By international agreement, one avoirdupois pound is equal to exactly 0.453 592 37 kilogram, 16 ounces, or 1.215 28 troy pounds.","http://purl.obolibrary.org/obo/NCIT_C48531","mass"
"92","cm","A basic unit of length in the former CGS version of metric system, equal to one hundredth of a meter or approximately 0.393 700 787 inch.","http://purl.obolibrary.org/obo/NCIT_C49668","length"
"93","g/dl","A unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one deciliter (100 milliliters). The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one deciliter.","http://purl.obolibrary.org/obo/NCIT_C64783","concentration"
"94","g/l","grams per liter","http://purl.obolibrary.org/obo/UO_0000175","concentration"
"95","in","A traditional unit of length equal to 1/12 of a foot or 2.54 centimeters.","http://purl.obolibrary.org/obo/NCIT_C48500","length"
"96","iu/l","Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one liter of the system volume.","http://purl.obolibrary.org/obo/NCIT_C67376","concentration"
"97","kg","A basic SI unit of mass. It is defined as the mass of an international prototype in the form of a platinum-iridium cylinder kept at Sevres in France. A kilogram is equal to 1,000 grams and 2.204 622 6 pounds.","http://purl.obolibrary.org/obo/NCIT_C28252","mass"
"98","l","The non-SI unit of volume accepted for use with the SI. One liter is equal to cubic decimeter, or one thousandth of cubic meter, or 1000 cubic centimeters, or approximately 61.023 744 cubic inches.","http://purl.obolibrary.org/obo/NCIT_C48505","volume"
"99","mg/dl","A unit of mass concentration defined as the concentration of one milligram of a substance in unit volume of the mixture equal to one cubic deciliter or 100 cubic centimeters. It is also a unit of mass density (volumic mass) defined as the density of substance which mass equal to one milligram occupies the volume one cubic deciliter or 100 cubic centimeters.","http://purl.obolibrary.org/obo/NCIT_C67015","concentration"
"100","mg/l","A metric unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one cubic meter. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of a substance which mass equal to one gram occupies the volume of one cubic meter.","http://purl.obolibrary.org/obo/NCIT_C64572","concentration"
"101","miu/ml","Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one international unit per one liter of the system volume.","http://purl.obolibrary.org/obo/NCIT_C67376","concentration"
"102","titer","A titer (or titre) is a measure of concentration. Titer testing employs serial dilution to obtain approximate quantitative information from an analytical procedure that inherently only evaluates as positive or negative. The titer corresponds to the highest dilution factor that still yields a positive reading; for example, positive readings in the first 8 serial twofold dilutions translate into a titer of 1:256.","http://purl.obolibrary.org/obo/VO_0000555","Titer"
"103","ug/dl","A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one deciliter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one microgram occupies the volume one deciliter.","http://purl.obolibrary.org/obo/NCIT_C67305","concentration"
"104","ng/dl","A unit of mass concentration defined as the concentration of one nanogram of a substance per unit volume of the mixture equal to one deciliter. The concept also refers to the unit of mass density (volumic mass) defined as the density of substance which mass equal to one nanogram occupies the volume of one deciliter.","http://purl.obolibrary.org/obo/NCIT_C67326","concentration"
"105","ug/l","A unit of mass concentration defined as the concentration of one microgram of a substance per unit volume of the mixture equal to one liter. The concept also refers to the unit of mass density (volumetric mass) defined as the density of a substance which mass equal to one microgram occupies the volume of one liter.","http://purl.obolibrary.org/obo/NCIT_C67306","concentration"
"106","uiu/ml","Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one millionth of international unit per one milliliter of system volume.","http://purl.obolibrary.org/obo/NCIT_C67405","concentration"
"107","umol/l","A unit of concentration (molarity unit) equal to one one-millionth of a mole (10E-6 mole) of solute per one liter of solution.","http://purl.obolibrary.org/obo/NCIT_C48508","concentration"
"108","cells/ml","A unit of cell concentration expressed in cells per unit of volume equal to one milliliter.","http://purl.obolibrary.org/obo/NCIT_C74919","derived_flow"
"109","CFU/ml","A derived unit of viable cell concentration defined as the number of colony forming units in one milliliter of substance","http://purl.obolibrary.org/obo/NCIT_C68902","concentration"
